LETO,KRAJ,PROIZVAJALEC,MODEL,OPOMBE,KOLICINA,TIP,LASTNIŠTVO,PODJETJE,VIRI
1973,Črnomelj,IBM,IBM 370/,135??,1,e,lasten,Ljubljanska banka Črnomelj,73/33
1973,Maribor,IBM,IBM 370/135,,1,e,lasten,ECM Ekonomski center Maribor + Skupščina občine Maribor + VEKŠ Visoka ekonomska komercialna šola Maribor + IMPOL + Mariborske livarna + MTT Mariborska tekstilna tovarna Maribor + Stavbar + Zlatorog,PKZ/01
1973,Žiri,IBM,IBM 3,,1,e,najet,Alpina Žiri,"72/09, 73/12, 73/27, RII/01"
1973,Ljubljana,IBM,IBM 3,,1,e,lasten,Ilirija Ljubljana,73/10
1973,Ravne,IBM,IBM 3,,1,e,lasten,Dekorativa Ravne,RII/01
1973,Škofja Loka,SPERRY Rand,SPERRY Rand UNIVAC 9700,,1,e,najet,LTH Škofja Loka + Gorenjska predilnica + Jelovica + Kmetijsko gosp + skupščina občine Škofja Loka,"77/02, 73/03"
1973,Radenci,FUJITSU,FUJITSU Facom 230/15,,1,e,lasten,Zdravilišče Radenci,73/01
1973,Ljubljana,IBM,IBM 1130,dobili od RCU,1,e,lasten,FS Fakulteta za strojništvo Ljubljana,73/35
1973,Ljubljana,IBM,IBM System 7,procesni,1,pe,lasten,FS Fakulteta za strojništvo Ljubljana,73/35
1973,Ljubljana,ARITMA,ARITMA Meda T-41,analogni,1,a,lasten,FS Fakulteta za strojništvo Ljubljana,73/35
1973,Novo Mesto,SINGER,SINGER System 10,,1,e,lasten,SDK Novo Mesto,72/08
1973,Krško,SINGER,SINGER System 10,,1,e,lasten,SDK Krško,74/05
1974,Domžale,neznan,neznan,,1,e,PREVERI,Skupščina občine Domžale,74/19
1974,Metlika,neznan,neznan,,1,e,PREVERI,Komet Metlika,74/07
1974,Novo Mesto,neznan,neznan,,1,e,PREVERI,DBH Dolenjska banka in hranilnica Novo Mesto,74/06
1974,Maribor,neznan,neznan,,1,e,lasten,DEM Dravske elektrarne Maribor + TAM Maribor + KBM Kreditna banka Maribor + Splošna bolnišnica Maribor,"PKZ/01, 77/20, 84/39"
1974,Izola,IBM,IBM 3,,1,e,lasten,Delamaris Izola,"74/22, 77/19, RII/01"
1974,Koper,neznan,neznan,,1,e,lasten,Stavbenik Koper,77/19
1974,Novo Mesto,NCR,NCR 446,,2,e,lasten,Labod Novo Mesto,"73/05, 74/07"
1974,Ljubljana,DEC,DEC PDP 8,,1,e,lasten,Kemijski inštitut Ljubljana,MON/01
1974,Ljubljana,IBM,IBM 370/115,,1,e,lasten,Intertrade računski center Ljubljana,77/29
1974,Celje,IBM,IBM 370/115,,1,e,najet,Kovinotehna Celje,"74/37, 74/39, 77/53"
1974,Velenje,IBM,IBM 3/10,,1,e,najet,REK Velenje,74/05
1974,Hrastnik,HONEYWELL,HONEYWELL neznan,50/58?,1,e,lasten,TKI Hrastnik,74/04
1974,Ljubljana,IBM,IBM 370/135,,1,e,lasten,Iskra Commerce Ljubljana,
1974,Ljubljana,IBM,IBM 370/138,,1,e,lasten,RZS Regionalna zdravstvena skupnost Ljubljana + SPIZ Ljubljana,SDMI/03
1974,Ljubljana,neznan,neznan,manjši,1,e,lasten,Ginekološka klinika Ljubljana,74/30
1975,Ljubljana,BURROUGHS,BURROUGHS L5112,,1,e,lasten,Energoinvest Ljubljana,75/37
1975,Koper,IBM,IBM 370/115,,1,e,najet,Luka Koper,75/17
1975,Celje,SPERRY Rand,SPERRY Rand UNIVAC 90/30,,1,e,lasten,Zavod za napredek gospodarstva - Razvojni center Celje,"77/53, RII/01"
1975,Ljubljana,neznan,neznan,,1,e,lasten,Zavod za avtomatsko obdelavo podatkov Trnovo + Ljubljanske občine,"76/16, 76/24"
1975,Maribor,INISCOPE,INISCOPE 100,,3,t,lastni,VEKŠ Visoka ekonomska komercialna šola Maribor,PKZ/01
1975,Velenje,neznan,neznan,,1,e,lasten,Gorenje Velenje,75/27
1975,Velenje,neznan,neznan,,1,e,lasten,Gorenje Velenje,75/27
1975,Bled,neznan,neznan,,1,t,skupen,LIP Bled + GG Bled + Pletenine Bled,"78/06, 82/03"
1975,Ljubljana,neznan,neznan,,1,e,lasten,Dom Ljubljana,74/42
1975,Novo Mesto,neznan,neznan,,1,e,najet,Novoles Novo Mesto,74/18
1975,Maribor,neznan,neznan,,1,e,lasten,Marles Maribor,75/29
1975,Naklo,neznan,neznan,,1,e,lasten,Merkur Naklo,77/52
1975,Ljubljana,neznan,neznan,,1,e,skupen,Mehanografski center Tobačna Ljubljana + 13 podjetij,74/46
1975,Sevnica,neznan,neznan manjši,,1,e,lasten,Jutranjka Sevnica,75/33
1976,Ljubljana,DEC,DEC PDP 11/10,,1,e,lasten,IJS Inštitut Jožef Stefan - Oddelek za računalništvo in informatiko,IDPR/01
1976,Ljubljana,DEC,DEC PDP 11/40,,1,e,lasten,RCU Računalniški center Univerze v Ljubljani,"76/28, 76/43"
1976,Ljubljana,IBM,IBM 370/138,,1,e,lasten,SDK Ljubljana,SDK/01
1976,Ljubljana,SPERRY Rand,SPERRY Rand UNIVAC 9480,,1,e,lasten,Rašica Ljubljana,"78/02, RII/01"
1976,Maribor,IBM,IBM 370/115,,1,e,lasten,SDK Maribor,SDK/01
1976,Ljubljana,PHILIPS,PHILIPS P352,,1,e,lasten,Gospodarska zbornica Ljubljana,77/40
1976,Maribor,neznan,neznan,,1,e,lasten,Gradis Maribor,76/19
1976,Celje,FUJITSU,FUJITSU Facom 230/15,,1,e,najet,Cinkarna Celje,"76/03, 77/53"
1976,Kidričevo,IBM,IBM 370/115,,1,e,lasten,UNIAL + TGA Tovarna glinice in aluminija Kidričevo + IMPOL,77/04
1976,Žalec,IBM,IBM 360/20,rabljen od Mure,1,e,lasten,KK Žalec-Hmezad,"77/53, 81/01"
1976,,IBM,IBM 370/115,,1,e,lasten,Računalniški center Dobrina,"76/02, 77/53, 81/01"
1976,Novo Mesto,IBM,IBM 370/115,,1,e,lasten,Pionir Novo mesto,"74/15, 76/06, 77/50, 77/10, PIO/01, RII/01"
1976,Ljubljana,IBM,IBM 370/145 + terminali,,1,e,lasten,RS Notranje zadeve Ljubljana,"76/27, MNZ/01"
1976,Novo Mesto,ROBOTRON,ROBOTRON Daro 1840,,4,e,lasten,Labod Novo Mesto + Gorjanci NM? + Gozdno gospodarstvo NM? + Agis Ptuj,"76/04, 77/04"
1977,Ljubljana,DEC,DEC PDP 11/34,,1,e,lasten,IJS Inštitut Jožef Stefan - Oddelek za računalništvo in informatiko,IDPR/01
1977,Radovljica,neznan,neznan,,1,e,lasten,Almira Radovljica,77/21
1977,Litija,neznan,neznan,,1,e,lasten,Predilnica Litija,RII/01
1977,Tržič,neznan,neznan,,1,e,lasten,Peko Tržič + BPT,77/24
1977,Maribor,IBM,IBM 370/115,,1,e,lasten,KBM Kreditna banka Maribor,"77/20, PKZ/01"
1977,Maribor,SPERRY Rand,SPERRY Rand UNIVAC 90/30 + terminali,,1,e,lasten,VEKŠ Visoka ekonomska komercialna šola Maribor,77/01
1977,Ljubljana,CDC,CDC Cyber 172,,1,e,lasten,RRC Republiški računski center Ljubljana + RZS Regionalna zdravstvena skupnost Ljubljana,"80/44, RRC/01"
1977,Sevnica,IBM,IBM 370/138,,1,e,lasten,Lisca Sevnica,"77/37, RII/01"
1978,Novo Mesto,IBM,IBM 370/138,,1,e,lasten,IMV Novo mesto,85/94
1978,Ljubljana,neznan,neznan,,1,e,lasten,Litostroj Ljubljana,77/30
1978,Maribor,SPERRY Rand,SPERRY Rand UNIVAC 90/30 + terminali,,1,e,najet,Staninvest,"76/22, 77/28, 78/05"
