Leto,Datum,Napis na kaseti,ostalo,Oseba,skatla
2006,13.9.2006,Open document revolution,,E. Gutentag & Bob Sutor,07_Open Office 2006
2006,13.9.2006,Geting Introduced to URE,,Cedric Bosdonwat,07_Open Office 2006
2006,13.9.2006,What open source lovers wnat?,,"Christian Driga, Erwin Tenhumberg",07_Open Office 2006
2006,13.9.2006,XML Based filters in OpenOffice.org,,Sante Schubert,07_Open Office 2006
2006,13.9.2006,"Open document/ISO/IEC26300: The present, and the future",,Michael  Bauer,07_Open Office 2006
2006,13.9.2006,OpenOffice .rog and odf accesibility,,Jc Br**mier & Maur Timmermann,07_Open Office 2006
2006,13.9.2006,Tech comparison: OXML vs MS OXML,,Bob Wein,07_Open Office 2006
2006,13.9.2006,The openOffice.org specification process denystified??,,"Christian Janse, Tina Rad??, Joerg Sievees",07_Open Office 2006
2006,13.9.2006,OOO Extensions Fn??,,Jurven Schmidt,07_Open Office 2006
2006,13.9.2006,OpenOffice.org an indian success story,,Rkus Raman,07_Open Office 2006
2006,13.9.2006,???,,Dogles Heintzman,07_Open Office 2006
2006,13.9.2006,,,,07_Open Office 2006
2006,13.9.2006,,,,07_Open Office 2006
2006,13.9.2006,,,,07_Open Office 2006
2006,13.9.2006,07_Open Office 2006,,,
2006,25. 10. 2006,SU-TripTracker.com 2/2,,Gregor Rebolj,09_Sheet7
2006,20. 10. 2006,HAIP soniqSQUIRREL.net,,Marc Widmer,09_Sheet7
2006,18.1.2006,SU: Merjenje obisk. sple. strani - cela -,,,11_MOMOSLO_SU
2006,19.4.2006,"Simon Belak, Turbo Gears, 12 min, 2/2",,Simon Belak,12_Spletne urice
2006,15.3.2006,"SU Fry: Ruby, 7 min",,,12_Spletne urice
2006,12.11.2006,"Spletne urice Fry: JS SRT, 45 min",,,12_Spletne urice
2006,15.11.2006,"SU Simon Belak Continuations, 140 min",,Simon Belak,12_Spletne urice
2006,1.2.2006,"SU: SV6 VS Canvas, Ivan Leben, Kamera: Nena?",,Ivan Leben,12_Spletne urice
2006,6.12.2006,"SU: Okrogla miza Avtentikacija 1/2, Tori - Sony",,,12_Spletne urice
2006,6.12.2006,"SU: Okrogla miza Avtentikacija 2/2, Tori - Sony",,,12_Spletne urice
2006,11.1.2006,"SU: Gisselle GIS pregled, Miha Kadunc, cela, 50 min 20 sec",,Miha Kadunc,12_Spletne urice
2006,22.3.2006,"SU: Razvoj iger z J2ME, 51 min",,,12_Spletne urice
2006,8.3.2006,"Markos - ipod spletne urice, cela",,,12_Spletne urice
2006,10.5.2006,"SU: Koren, Tiskanje brez CSS, 40 min",,Jure Koren,12_Spletne urice
2006,15.3.2006,"SU: Fry - Ruby on rails, cela",,,12_Spletne urice
2006,7.11.2006,"SU: Od česa lahko živijo spletne skupnosti, cela",,,12_Spletne urice
2006,13.12.2006 ?,SU: Grafično oblikovanje,,,12_Spletne urice
2006,19.4.2006,"SU: Simon Belak, Turbo Gears, 1/2, cela",,Simon Belak,12_Spletne urice
2006,17.10.2006,"SU: Daniel Fisher, XIPH, 140 min",,Daniel Fisher,12_Spletne urice
2006,26.4.2006,"SU: Ajax Delavnica, 2/2, Marko Samastur & Marko Mrdjonović, 130 min",,"Marko Samastur, Marko Mrdjonovič",12_Spletne urice
2006,18.5.2006,"SU: Elementi upor. izkušnje, 1/2, ",,,12_Spletne urice
2006,20.10.06,"Haip, Franj Barknecht, Faltig",,,13_Predstavitev pipe
2006,20.10.06,Haip Slavko Glamočanin: Naprava + Funkfeuer,,Slavko Glamočanin,13_Predstavitev pipe
2006,18.10.06,Haip Maold ZFO,,,13_Predstavitev pipe
2006,2.3.2006,"Monochrom: Nič moči za teorijo in/ali prakso, 1/2",,,13_Predstavitev pipe
2006,2.3.2006,"Monochrom: Nič moči za teorijo in/ali prakso, part 2",,,13_Predstavitev pipe
2006,4.5.06 in 5.5.06,Muzej: No-lan party; G404 Blaž Porenta: Digitalno na platnu,,Blaž Porenta,13_Predstavitev pipe
2006,3.11.2006,Regresije,,,13_Predstavitev pipe
2006,3.11.2006,Regresije,,,13_Predstavitev pipe
2006,8.11.2006,"Jure Erjavec, Preživetje spletnih skupnosti, Brian King - FF 2.0",,"Jure Erjavec, Brian King",15_SU
2006,18.5.2006,"SU: Element. uporabniške izkušnje, 2/2",,,15_SU
2006,12.4.2006,SU: Trepča Testiranje S.A,,,15_SU
2006,3.5.2006,"SU: Ajax delavnica, 2/2",,,15_SU
2006,29.3.2006,SU: Žuhalev: Django 1/2 CELA,,,15_SU
2006,29.3.2006,"SU: Žuhalev: Django 2/2, Kam. od kapelice!",,,15_SU
2006,25.10.2006,"SU: Gregor Rebolj, Triptracker.com. 1/2",,Gregor Rebolj,15_SU
2006,3.5.2006,"SU: Ajax delavnica 2, 1/2",,,15_SU
2007,20.9.2007,Extension infrastructure: Recent achivments and future prospects,"1,1",J. Lingner,14_OOoCON 2007
2007,20.9.2007,The extended 000 ecosystem,"1,2",K. Ramme,14_OOoCON 2007
2007,20.9.2007,Open source external engine,"1,3",E. D. Dimalen,14_OOoCON 2007
2007,20.9.2007,NLP- A sustainability path to OpenOffice.ork,"1,4",C. F. Filno,14_OOoCON 2007
2007,20.9.2007,Benefits of extension,"2,1",D. Darabos,14_OOoCON 2007
2007,20.9.2007,OpenOffice.org & Alfsesco,"2,2",C. Bosdonnat,14_OOoCON 2007
2007,20.9.2007,"Integrated tools for spelling, style and grammar checking","2,3",D. Naber,14_OOoCON 2007
2007,20.9.2007,Recito: An open source graphical IDE for automatic document anf dataflow manipulation,"2,4",A. Assat,14_OOoCON 2007
2007,20.9.2007,OpenOffice.org Development with NetBeans,"3,1",S. Gruuid,14_OOoCON 2007
2007,20.9.2007,OpeOffice document on mobile device,"3,2",M. Odendahl,14_OOoCON 2007
2007,20.9.2007,Rewriting the chart - A retrospective,"3,3",B. Milcke,14_OOoCON 2007
2007,20.9.2007,"Thunderbird/Lightning PIM, the missing office piece","3,4",D. Bolzle,14_OOoCON 2007
2007,20.9.2007,Gravity zoo: Bringing OpenOffice.org to the internet,"4,2",Mivan Brigelen,14_OOoCON 2007
2007,20.9.2007,3D slideshow transitions,"4,3",S. M. Mathews,14_OOoCON 2007
2007,20.9.2007,Tawernalc: How to transofrm your OpenOffice Calc into grid,"5,1",M. Dopiera,14_OOoCON 2007
2007,20.9.2007,Beyond Microsoft,"5,2",A. Mudjiarto,14_OOoCON 2007
2007,20.9.2007,New Filter for MS Word: Handle many formats Like one,"5,3",F. Strbay,14_OOoCON 2007
2007,20.9.2007,Why are you doing this to me?,"5,4",M. Berti,14_OOoCON 2007
2007,20.9.2007,Nit the parrot sketch: Implementing an 000 config browser using Python,"6,1",T. Benrens,14_OOoCON 2007
2007,20.9.2007,Dynamic Presentation OpenOffice Impress,"6,2",C. Pinary Estary,14_OOoCON 2007
2007,20.9.2007,Effective graphic user interfaces ____,"6,3",P. Martovar,14_OOoCON 2007
2007,20.9.2007,Proceeding the Ts___ money way,"6,4",F. Strba,14_OOoCON 2007
2007,9.11.2007,"VIP#2 Pečanac, cela",,Pečanac,01_VIP
2007,5.4.2007,"VIP#10 Boris Kozlevčar, Kako ukrotiti podjetniški dvoj, Paprika, Kam 2 KAS 1",,Boris Kozlevčar,01_VIP
2007,5.4.2007,"VIP#10 Boris Kozlevčar, Kako ukrotiti podjetniški dvoj, Paprika, Kam 2 KAS 2",,Boris Kozlevčar,01_VIP
2007,5.4.2007,"VIP#10 Boris Kozlevčar, Kako ukrotiti podjetniški dvoj, Kam 1 KAS 1",,Boris Kozlevčar,01_VIP
