navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,polica,popisovalec,stanje,zgodovina
,,Vnosna naprava,"Panasonic, Japonska",Kontroler Panasonic 3DO,15,7,3,,FZ-JP2X,D2,Nejc,Lepo ohranjen črn kontroler spredaj ima napis Panasonic 3DO.,VH00058
,,Komponenta,"Sega, Japonska",Pretvornik Sega Genesis,14,8,3,,MK-1647,D2,Nejc,Lepo ohranjen črn pretvornik za več igralcev na konzoli Sega genesis. Spredaj ima napis Sega.,VH00058
,,Komponenta,"Atari, ZDA",Pretvornik Atari Team Tap,15,7,3,,,D2,Nejc,Lepo ohranjen črn pretvornik za več igralcev na konzoli Atari Jaguar. Spredaj ima rdeč napis Team Tap in rdeč Atari logotip.,VH00058
,,Vnosna naprava,"Sega, Japonska",Kontoler Sega Master system control pad,12,5,2,,3020,D2,Nejc,Lepo ohranjen črn kontroler spredaj ima napis Sega control pad.,VH00058
,,Komponenta,"Atari, ZDA",TV priključek za igralno konzolo Atari2600 VaderBlack,5,7,2,,,D2,Nejc,Lepo ohranjen črno siv TV priključek za igralno konzolo atari 2600. Spredaj ima drseče stikalo z napisoma Computer in TV.,VH00058
,,Komponenta,,RCA Studio II TV priključek za igralno konzolo,5,9,4,,,D2,Nejc,Lepo ohranjen zeleno rjav TV priključek igralno konzolo. Spredaj ima napi RCA Studio II.,VH00058
,,Komponenta,"Atari, ZDA",Komponenta,13,8,3,,A153,D2,Nejc,Lepo ohranjen črn TV priključek za igralno konzolo atari 5200. Spredaj ima črn atari logo in oranžno nalepko z opozorilom.,VH00058
,,Komponenta,"Atari, ZDA",TV priključek za igralno konzolo Atari Jaguar,9,7,3,,,D2,Nejc,Lepo ohranjen črn TV priključek za igralno konzolo atari. Spredaj ima bel napis Jaguar.,VH00058
,,Vnosna naprava,,Stopalka za igranje igric,6,10,3,,,D2,Nejc,Lepo ohranjena črna stopalka za igranje igric. Zadaj ima napis made in japan.,VH00058
,,Komponenta,"Nintendo, Japonska",TV priključek za igralno konzolo Nintendo RF Switch,8,4,2,,NES-003/1,D2,Nejc,Lepo ohranjen siv TV priključek za igralno konzolo. Spredaj ima napis Nintendo.,VH00058
,,Komponenta,"Nintendo, Japonska",TV priključek za igralno konzolo Nintendo RF Switch,8,4,2,,NES-003/2,D2,Nejc,Lepo ohranjen siv TV priključek za igralno konzolo. Spredaj ima napis Nintendo.,VH00058
,,Komponenta,"Nintendo, Japonska",Prejemnik za Super scope puško (Nintendo super scope receiver box),9,11,3,,SNS-014,D2,Nejc,Lepo ohranje prejemnik za igranje igric s puško Super scope. Na zadnji strani siva nalepka z URL-jem.,VH00058
,,Komponenta,"Nintendo, Japonska",TV priključek za igralno konzolo Nintendo RF Switch,8,4,2,,NES-003,D2,Nejc,Lepo ohranjen siv TV priključek za igralno konzolo. Spredaj ima napis Nintendo.,VH00058
,,Vnosna naprava,"Sega, Japonska",Kontoler Sega Master system control pad,12,5,2,,3020,D2,Nejc,Lepo ohranjen črn kontroler spredaj ima napis Sega control pad.,VH00058
,,Komponenta,"Nintendo, Japonska",Dodatek za Gamecube (Gameboy Player),15,16,5,,DOl-017,D2,Nejc,Lepo ohranjen črn dodatek za Gamecube imenovan game boy player.,VH00058
,,Računalnik,"Apple, ZDA",iMac,40,45,40,,4849584FBAA,D5,Mateja,Pokapljan z belo barvo. Spredaj nalepka want 2 play. Na levi strani na ohišju nalepka OS 690-1,
