navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,polica,popisovalec,stanje,zgodovina
,,Ostalo,,Elektronka,4,12,4,,,Predal 1,Mateja,Brez škatle. Na njej napisano Valvo Pl 519. Steklo sajasto.,
,,Komponenta,"Iskra Delta, Jugoslavija",Centralna procesna enota 68010,26,19,1,,,C1,Mateja,"Centralno procesna enota z zanimivimi čipi (zilog, itd.). Na sprednji strani par konektorjev, reset tipka. Na srebrnem delu napis IDC. Dodani tudi vijaki.",
,,Komponenta,"Iskra Delta, Jugoslavija",Centralna procesna enota FD/WD,26,19,1,,C-2,C1,Mateja,"Centralno procesna enota z zanimivimi čipi (zilog, itd.). Spredaj, na srebrnem delu napis IDC. Dodani tudi vijaki.",
,,Računalnik,"Iskra Delta, Jugoslavija",Industrijska izvedba Triglav,47,47,30,,,C1,Mateja,Modro ohišje. Spredaj sloti za procesne enote. Ob strani ročaji. Na osnovi vodila VME.,VH00036
,,Monitor,"Nokia, Finska",Monitor Sun,36,37,38,1994,3651327-01,C3,Mateja,"Lepo ohranjen. Spredaj levo spodaj Sun logo. Zadaj nalepka: Manufactured: November, 1994. Made in Finland. Nokia naredila za Sun.",
,,Kalkulator,"Hewlett Packard, ZDA",Kalkulator HP 35,8,15,3,,,C4,Mateja,Lepo ohranjen. Z napajalnikom. Na zadnji strani navodila za uporabo. Zraven so prišle tudi baterije - smo jih dali ven.,VH00060
,,Kalkulator,"Novus, ZDA",Kalkulator 4515,8,16,3,1975,1006779,D7,Mateja,"Kalkulator je shranjen v manjši rjavi torbici z napisom Novus. Zraven tudi knjižica s ""trouble shooting tips"" in na papirju, s svinčnikom napisana navodila za računanje. Tudi na samem kalkulatorju na zadnji strani navodila.",
,,Kalkulator,,Kalkulator,7,12,1,,,D7,Mateja,"Srebrn kalkulator, brez napisa proizvajalca. Na zadnji strani le nalepka ""Made in Hong Kong.""",
,,Kalkulator,"Digitron, Jugoslavija",Kalkulator db 812,8,14,4,,,D7,Mateja,"Kalkulator je shranjen v črni škatlici, na zadnji strani ime proizvajalca. Kalkulator bele barve, z vzdignjenim zaslonom. Na zadnji strani nalepka z navodili za rokovanje. Spodaj na njej piše Made in Yugoslavia. Slabo vidna serijska številka.",
,,Računalnik,"Hewlett Packard, ZDA",HP Omnibook 425,28,16,4,,,D7,Mateja,Lepo ohranjen. ,
,,Računalnik,"Toshiba, Japonska",Libretto100CT,21,13,4,,68018490,D7,Mateja,Lepo ohranjen. Zgoraj napis proizvajalca in ime modela. Poleg napajalnik.,
,,Komponenta,"Option, Nizozemska",Kartica za brezžični internet,6,13,1,,OL4A57M1XB,D7,Mateja,"Globe trotter 3G quad kartica, v plastični škatli.",
,,Komponenta,,Adapter,5,9,1,,905998,D7,Mateja,Adapter PCMCIA to ATA/ATAPI. Priklopljena na kabel.,
,,Komponenta,,Disketna enota,14,17,3,2000,203K09R0476,D7,Mateja,"Disketna enota. Na zadnji strani priklop za slušalke, tipka za prižig, konektor. ",
,,Igralna konzola,Pocketsprite,Igralna konzola mini,3,6,1,,,D7,Mateja,Mini konzola. Shranjena v črni škatli na kateri piše PocketSprite z rdečimi črkami. Priložen tudi napajalnik. Delujoča.,VH00046
,,Komponenta,LifeView,Adapter za TV (model: LR502),5,13,3,,450806400958,D7,Mateja,Adapter za digitalni in analogno TV.,
,,Mrežna oprema,"Siemens AG, Nemčija",ISDN modem I-Surf USB,11,13,3,,682,D7,Mateja,"Lepo ohranjen. V original škatli, ki je sicer malce obrabljena. V njen navodila za uporabo.",
,,Tiskalnik,Hardtek,Vmesnik za ZX Spectrum tisklanik RS232,12,6,3,,,D7,Mateja,Shranjen v škatli. Vmesnik in Siemens konektor. ,
,,Nosilec podatkov,,Disk plošča,35,35,1,,,D7,Mateja,Disk plošča. Zgoraj z belim flomastrom napisano C:\WIN,VH00051
,,Nosilec podatkov,"Graham Magnetics, Inc., ZDA",Magnetni trak Verituf,27,27,2,,,D7,Mateja,Magnetni trak. Na nalepki napis Jenkins School of Business.,VH00051
,,Nosilec podatkov,"BASF SE, Nemčija",Magnetni trak 4610,29,28,2,,,D7,Mateja,Magnetni trak. Na njem nalepka Indiana University. In UE 0067. Na zadnji strani nalepka proizvajalca. ,VH00051
,,Nosilec podatkov,"LaCie, Ltd.",Trdi disk,17,24,7,,,D7,Mateja,"Trdi disk, v ohišju. S kablom za priklop na računalnik.",
,,Računalnik,"Compaq, ZDA",Prenosnik LTE 286,28,22,5,,,D7,Mateja,"Na zgornji strani pokrova nalepka SRC computers. Na zadnji strani se kar samo odpre pokrov konektorjev. Na levi strani nalepka s A - 100/111. Lep primerek. Shranjen v črni torbici. Gre pa kar na knap notri, potrebno paziti!",
,,Dlančnik,"Handspring Inc., Ltd",Dlančnik VISOR,8,12,2,,,D7,Mateja,"Res lep. Zadaj prozorna plastika, da se vidi v drobovje. Zgornji pkrovček se sname od zgoraj navzdol. ",
,,Dlančnik,"Palm Inc., ZDA",Dlančnik Palm IIIxe,8,12,2,,,D7,Mateja,Lepo ohranjen. Zadaj samo ena grda nalepka. ,
,,Vnosna naprava,"Apple, ZDA",Apple Magic Trackpad (sledilna ploščica),13,13,2,,,D7,Mateja,Srebrne barve. Model: A1339.,
,,Podatkovni pogon,"Digital, ZDA",Disketni pogon TLZ09,10,15,4,,,D7,Mateja,Lep primerek. ,
,,Vnosna naprava,"Logitech International S.A., Švica",ScanMan,14,14,4,,EB069205741-06,D7,matej,Nekoliko opraskan. Zraven je pripadajoča ISA kartica.,
,,Vnosna naprava,"IBM, ZDA",Tipkovnica Model M,50,21,5,1988,55-5826946,D7,matej,Na nekatere tipke so ročno napisani posebni znaki. Nanjo je priključen adapter z AT konektorja na PS/2.,
,,Podatkovni pogon,"Apple, ZDA",Macintosh HDI-20 External 1.4MB Floppy Disk Drive,12,18,3,1991,SA1494DH05A1,D7,matej,Lepo ohranjen.,
,,Ostalo,"Emulex, ZDA",Performance 4000,37,28,6,,BAN5684 PR,D7,matej,"Na zgornji strani je s flomastrom napisano ""TIP PRI, MB"", sicer umazano, a lepo ohranjeno.",
,,Računalnik,,Prenosnik Airis,36,26,3,,PNB518004742,D7,matej,Lepo ohranjen. Zraven sta baterija in napajalnik. V modri vreči SŠ Josipa Jurčiča Ivančna Gorica.,
,,Telefon,"Apple, ZDA",iPhone,6,12,1,,,D7,matej,Lepo ohranjen. V modri vreči SŠ Josipa Jurčiča Ivančna Gorica.,
,,Vnosna naprava,"Logitech International S.A., Švica",Brezžična miška Logitech,6,11,4,,,D7,matej,Lepo ohranjena. V modri vreči SŠ Josipa Jurčiča Ivančna Gorica.,
,,Komponenta,,Feritni pomnilnik na vezju,14,12,0,,,D7,matej,Lepo ohranjen.,VH00051
,,Komponenta,D-Link,DMF-560TXD,6,12,2,2000,B41J133000062,D7,matej,Lepo ohranjeno. V originalni škatli z dokumentacijo in mediji.,VH00051
,,Igralna konzola,,Žepna LCD igrica Ballonflug,10,6,2,,,D7,matej,Manjka pokrov za baterijo. Zvezana s 3 podobnimi igricami.,VH00051
,,Igralna konzola,,Žepna LCD igrica tenis,10,6,2,,,D7,matej,Manjka pokrov za baterijo. Zvezana s 3 podobnimi igricami.,VH00051
,,Igralna konzola,,Žepna LCD igrica Delphine,10,6,1,,,D7,matej,Manjka pokrov za baterijo. Zvezana s 3 podobnimi igricami.,VH00051
,,Igralna konzola,,Žepna LCD igrica,9,10,2,,,D7,matej,Okrogla. Manjka pokrov za baterijo. Zvezana s 3 podobnimi igricami.,
,,Telefon,LG,,5,10,1,,203CYMR992155,D7,matej,Flip phone. Vsebuje baterijo in kartico SIM.,
,,Telefon,Google,G1,6,12,2,,,D7,matej,"Ima fizično tipkovnico, ki se odpre kot npr. pri Sidekicku. Pod zaslonom so štirje gumbi. Proizvajalec ali model nista navedena, zadaj je majhen znak Androida.",
,,Telefon,"Nokia Corporation, Finska",3510i,5,12,2,,,D7,matej,"Modre barve, ob straneh oranžen. Vsebuje baterijo.",
,,Telefon,,Firefox OS Developer preview,6,12,1,,,D7,matej,Lepo ohranjen.,VH00056
,,Podatkovni pogon,Iomega,Zip 100 parallel port,13,18,3,1998,PREJ472FP1,D7,matej,"Lepo ohranjen. V originalni škatli z napajalnikom, dokumentacijo in programsko opremo.",
,,Telefon,"HTC, Tajvan",Telefon HTC,7,13,1,,1,D5,Mateja,"Lep, z rdečimi detajli. Na zadnji strani napis ""beatsaudio"" in logo b.",VH00067
,,Telefon,Sony Ericsson Mobile Communications,XPERIA,6,13,1,,,D5,Mateja,Lepo ohranjen. Na zadnji strani inventarna nalepka Ekipa2 d.o.o.: 100128.,VH00067
,,Telefon,"Sony Mobile Communications Inc., Japonska",XPERIA (rdeč),6,10,1,,,D5,Mateja,"Z ostrimi robovi, spodaj malce rdeč. Na zadnji strani nalepka MIRO MDPI.",VH00067
,,Telefon,"Samsung, Japonska",Telefon Samsung,6,11,1,,,D5,Mateja,"Klasičen, z gumbom spodaj na zaslonu. Zadaj inventarna nalepka Ekipa2 d.o.o.: 100123.",VH00067
,,Telefon,"Motorola Inc., ZDA",Defy+,6,11,1,,,D5,Mateja,"Zaščite konektorjev se ne da več zapreti. Na zadnji strani nalepka 107 Motorola Defy+, čez njo inventarna nalepka Ekipa2 d.o.o.: 100124.",VH00067
,,Telefon,"Nokia Corporation, Finska",Telefon Nokia,7,13,1,,,D5,Mateja,Spodnji del bel. Na zadnji strani inventarna nalepka Ekipa2 d.o.o.: 100614. In zelena WP: 8.1,VH00067
