GENERACIJA,ZAPOREDNI,KOLICINA,LETO,PROIZVAJALEC,MODEL,OPOMBE,TIP,UPORABA,LASTNISTVO,NOSILEC,KRAJ,PARTNER,DOSTOP,VIRI
,,1,1973,CDC,CDC 731,,t,o,T,VTŠ - Višja tehniška šola,Maribor,,,77/16
,,1,1973,neznan,neznan,,t,o,T,LIP - Lesna industrija Bled,Bled,"GG Bled - Gozdno gospodarstvo, Pletenine",,"78/06, 82/03"
,,1,1974,neznan,neznan,,t,o,T,GLIN - Gozdarstvo in lesna industrija Nazarje,Nazarje,,,75/23
E,,1,1972,SPERRY Rand,SPERRY Rand UNIVAC 1106,,E,Y,L,Železarna Sisak,Sisak,,,72/52 
D,,1,1972,IBM,IBM 360/20,,e,o,L,Elan,Begunje,,,"68/10, 69/03, 72/20, RII/01"
D,,1,1972,IBM,IBM 360/25,,e,o,S,Simplex,Idrija,"Slovenijales Spodnja Idrija, ETA - Tovarna elektrotermičnih aparatov",,"70/15, 71/08"
D,2,1,1972,IBM,IBM 360/25,,e,J,N,RSNZ - Republiški sekretariat za notranje zadeve,Ljubljana,,"Ljubljanske občine, ZZSZ Ljubljana - Zavod za zdravstveno in socialno zavarovanje",MNZ/01
E,2,1,1972,IBM,IBM 370/135,,e,J,L,SDK centrala Ljubljana - Služba družbenega knjigovodstva,Ljubljana,,,"71/66, 86/23, SDK/01"
C,,2,1972,SINGER,SINGER System 10,,me,J,L,SDK Maribor - Služba družbenega knjigovodstva,Maribor,,,"PKZ/01, SDK/01"
C,,1,1972,SINGER,SINGER System 10,,me,J,L,SDK Kranj - Služba družbenega knjigovodstva,Kranj,,,SDK/01
C,,1,1972,SINGER,SINGER System 10,,me,J,L,SDK Celje - Služba družbenega knjigovodstva,Celje,,,"72/13, SDK/01"
E,,1,1972,IBM,IBM 370/135, obdeluje tudi več občin,e,o,N,Astra,Ljubljana,,"Staninvest, Zdravstveni dom Celje","71/08*, 72/13, 73/30"
E,3,1,1972,IBM,IBM 3/10,,me,o,L,Titan,Kamnik,,,"71/35, 72/04, 75/03"
E,2,1,1972,IBM,IBM 3/10,,me,o,L,Stol,Kamnik,,,"71/35, 72/04, 75/03"
E,,1,1972,IBM,IBM 3/10,,me,o,N,Tovarna dušika Ruše,Ruse,,,72/25
E,,1,1972,IBM,IBM 3/10,,me,o,L,Chemo,Ljubljana,,,72/51
E,,1,1972,PHILIPS,PHILIPS P359,,me,o,L,IBI - Industrija bombažnih izdelkov,Kranj,,,"71/70, RII/01"
E,3,1,1972,PHILIPS,PHILIPS P359,,me,o,L,Predilnica in tkalnica Tržič,Tržič,,,72/21
E,,1,1972,HONEYWELL,HONEYWELL G118,,me,o,L,Beti,Metlika,,,"72/03, 72/17, 72/40, 74/16, 74/47, RII/01"
E,,1,1972,NCR,NCR Century 200,,me,o,L,Mercator,Ljubljana,,,"72/50, 84/129"
X,2,1,1972,IBM,IBM 3/6,,me,P,L,Intertrade Računski center,Ljubljana,,,72/22
X,,1,1972,IBM,IBM neznan,,e,P,L,Intertrade IBM šolski center,Radovljica,,Železarna Ravne,"72/38, 73/09"
E,,1,1973,SPERRY Rand,SPERRY Rand UNIVAC 1110,,E,Y,L,Računalniški center Univerze v Zagrebu,Zagreb,,,"72/47, 73/04, 77/46"
E,3,1,1973,IBM,IBM 370/135,,e,o,L,Sava,Kranj,,"Jelovica, Tekstilindus, KŽK Kranj - Kmetijsko živilski kombinat, Skupščina občine Kranj","72/05, 72/06, 72/35, 72/39, 73/28, RII/01"
E,5,1,1973,IBM,IBM 370/135,,e,P,S,ECM - Ekonomski center Maribor,Maribor,"Skupščina občine Maribor, VEKŠ - Visoka ekonomska komercialna šola, IMPOL - Industrija metalnih polizdelkov, Mariborska livarna, MTT - Mariborska tekstilna tovarna , Stavbar, Zlatorog",,"73/21, PKZ/01"
E,2,1,1973,IBM,IBM 370/135,(in lokalni terminali),e,o,N,Železarna Ravne,Ravne,,,"72/18, 73/08*"
,,,,neznan,neznan,,t,o,T,,,,,
E,2,1,1973,IBM,IBM 370/125,(in terminali),e,o,N,Meblo,Nova Gorica,,,"73/24, 73/32, 73/44"
,,1,1973,IBM,IBM 3270,,t,o,T,Meblo,Nova Gorica,,,73/44
E,,1,1973,IBM,IBM 370/ ,(135??),e,o,L,Ljubljanska banka Črnomelj,Črnomelj,,,73/33
E,,1,1973,IBM,IBM 3,,me,o,N,Alpina,Žiri,,,"72/09, 73/12, 73/27, RII/01"
E,2,1,1973,IBM,IBM 3,,me,o,L,Ilirija,Ljubljana,,,73/10
E,,1,1973,IBM,IBM 3,,me,o,L,Dekorativna,Ljubljana,,,RII/01
E,2,1,1973,IBM,IBM 3,,me,o,L,Agrotehnika,Ljubljana,,,73/42
E,,1,1973,IBM,IBM 3,,me,o,L,IMP - Industrijsko montažno podjetje,Ljubljana,,,73/43
E,,1,1973,IBM,IBM 3,,me,o,L,Delamaris,Izola,,Droga,"74/22, 77/19, RII/01"
C,,1,1973,SINGER,SINGER System 10,,me,J,L,SDK Krško - Služba družbenega knjigovodstva,Krško,,,74/05
C,,1,1973,SINGER,SINGER System 10,,me,J,L,SDK Novo mesto - Služba družbenega knjigovodstva,Novo Mesto,,,72/08
D,4,1,1973,SPERRY Rand,SPERRY Rand UNIVAC 9700,,e,o,S,LTH - Loška tovarna hladilnikov,Škofja Loka,"Gorenjska predilnica, Kmetijsko gospodarstvo Škofja Loka",Skupščina občine Škofja Loka,"77/02, 73/03, 73/38"
,,,1973,SPERRY Rand,Uniscope 100,(zaslonski terminali) verjetno lokalno,t,o,T,,,,,73/43
E,,1,1973,FUJITSU,FUJITSU Facom 230/15,,e,o,L,Zdravilišče Radenci,Radenci,,,73/01
D,,1,1973,IBM,IBM 1130 ,(prilagojen za vodenje procesov),me,R,L,FS - Fakulteta za strojništvo,Ljubljana,,,73/35
E,2,1,1973,IBM,IBM System 7 ,(procesni),pe,R,L,FS - Fakulteta za strojništvo,Ljubljana,,,73/35
G,3,1,1973,ARITMA,ARITMA Meda T-41 ,(analogni),ae,R,L,FS - Fakulteta za strojništvo,Ljubljana,,,73/35
E,,2,1973,NCR,NCR 446,,me,o,L,Labod,Novo Mesto,,,"76/04, 77/04"
E,3,1,1974,IBM,IBM 370/115,,e,o,L,Intertrade Računski center,Ljubljana,,,77/29
E,2,1,1974,IBM,IBM 370/115,,e,o,N,Kovinotehna,Celje,,,"74/37, 74/39, 77/53"
E,2,1,1974,IBM,IBM 370/135,"sodeluje že 13 ljubljanskih podjetij, Tobačna",e,o,S,Mehanografski center,Ljubljana,"Kompas, Termika, Tobačna tovarna, Rog, Pletenina, Petrol, Lesnina, Intereuropa, Kartonažna tovarna, ZZV Ljubljana - Zavod za zdravstveno varstvo",,"74/46, 74/53"
E,,1,1974,IBM,IBM 370/135,,e,o,L,Viator,Ljubljana,,,74/57
E,,1,1974,IBM,IBM 370/135,,e,o,L,DEM - Dravske elektrarne Maribor,Maribor,,"TAM - Tovarna avtomobilov Maribor, KBM - Kreditna banka Maribor, Splošna bolnišnica Maribor, Jeklotehna","PKZ/01, 77/20, 84/39, 84/130"
E,,1,1974,IBM,IBM 370/138,,e,Z,S,RZS Ljubljana - Regionalna zdravstvena skupnost,Ljubljana,SPIZ - Skupnost za pokojninsko in invalidsko zavarovanje,,"77/07, SDMI/03"
E,,1,1974,IBM,IBM 3/10,,me,o,N,REK - Rudarsko elektroenergetski kombinat,Velenje,,,74/05
D,,1,1974,SPERRY Rand,SPERRY Rand UNIVAC 9480,,e,o,L,Rašica,Ljubljana,,,"74/55, 78/02, RII/01"
E,,1,1974,FUJITSU,FUJITSU Facom 230/15,,e,o,L,Jeklotehna,Maribor,,,"75/42, 84/130"
E,,1,1974,DEC,DEC PDP 8,,me,R,L,Kemijski inštitut,Ljubljana,,,MON/01
E,,1,1974,DEC,DEC PDP 11/40,,me,o,L,Ljubljanske mlekarne,Ljubljana,,,74/51
E,,1,1974,HONEYWELL,HONEYWELL neznan ,(50/58?),e,o,L,TKI - Tovarna kemičnih izdelkov,Hrastnik,,,74/04
